ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus,airdropId
1701,0xB53006a3cC660AB150ce377EEe025F3A269A7ac9,39.0039,0.00127269,2023-06-24T14:34:15.024Z,d6524911-cf25-4e2b-b2bf-68ac92dac74e,pending,3
1702,0xB53006a3cC660AB150ce377EEe025F3A269A7ac9,0.030003,0.00103704,2023-06-24T14:34:43.912Z,81ff4f2b-acaf-427a-ac25-fe12a906ff53,pending,4
1703,0xB53006a3cC660AB150ce377EEe025F3A269A7ac9,15.0015,0.0005382,2023-06-24T14:34:53.374Z,e5fa02c9-9c43-4a28-baa6-b2abc635aa8c,pending,5
1704,0xB53006a3cC660AB150ce377EEe025F3A269A7ac9,15.0015,0.0011184,2023-06-24T14:34:58.717Z,9d8c88ce-e363-4581-82b9-37ab0c44fff3,pending,6
1705,0x60e7Fd2791868041e6cE1890b89Ed00Db60F7D84,10.001,0.0007456,2023-06-24T15:59:53.129Z,641610d5-1279-4386-995a-a23e44b7326e,pending,6
1706,0x1Fb0a9713007cBD94F34AEb784F07F20De7570D7,10.001,0.0007456,2023-06-24T16:39:13.490Z,b6090693-d4ba-4932-bf6b-fb2a20ee1840,pending,6
1708,0xdeB8ABA616e16d523B97cEeE571aA70bE91B9d65,30.003135,0.00130542,2023-06-24T16:57:46.982Z,6f59b378-c197-4139-ac6a-1429516756c7,pending,2
1709,0xdeB8ABA616e16d523B97cEeE571aA70bE91B9d65,39.0039,0.00127269,2023-06-24T17:00:39.271Z,44c13ee6-3854-49ff-8e39-67310907d61d,pending,3
1710,0xdeB8ABA616e16d523B97cEeE571aA70bE91B9d65,0.030003,0.00103704,2023-06-24T17:02:10.328Z,d71162b3-6b64-42ae-9f11-a0eeb521f697,pending,4
1711,0xdeB8ABA616e16d523B97cEeE571aA70bE91B9d65,15.0015,0.0005382,2023-06-24T17:03:42.163Z,0dcf4342-f401-4403-aa07-1bd8433b3ab9,pending,5
1712,0xdeB8ABA616e16d523B97cEeE571aA70bE91B9d65,15.0015,0.0011184,2023-06-24T17:05:09.890Z,45ef1ca7-4631-4de9-a649-20bf813eef8f,pending,6
1713,0x73CE63AD14cCc5b29C6A34D3D13c47Caf84BAF67,5.0005,0.0003728,2023-06-24T18:15:14.498Z,3d8010f1-99e8-48a7-ad1a-7653216d2851,pending,6
1714,0xeC7E6ca7c3bdb1CfD776F8E0529846f6bF25D647,13.0013,0.00042423,2023-06-24T18:17:55.066Z,9e2b04c4-359e-4dd7-9b51-df132dbf4f2d,pending,3
1715,0xF1B3ae239210E03c38800831f74961f763B9CEa6,10.001,0.0007456,2023-06-24T20:26:03.069Z,fe6d1269-ad67-4442-ac1a-8cc082a9aead,pending,6
1716,0x8D5B410A3edbd1eF711b11e008B01c13f7201Cc8,5.0005,0.0003728,2023-06-25T00:33:01.780Z,5292d660-c620-48e5-96e0-a2ca99489b7f,pending,6
1717,0x8D5B410A3edbd1eF711b11e008B01c13f7201Cc8,10.001045,0.00043514,2023-06-25T00:34:11.449Z,9f207e69-a2f6-4fc2-88e0-45e43f9043e3,pending,2
1718,0x54a0ae879f289A397b9978ad2B202548b8639528,15.0015,0.0005382,2023-06-25T01:04:20.704Z,b467afaf-639f-47ed-b4d8-0d92834a38f8,pending,5
1719,0x54a0ae879f289A397b9978ad2B202548b8639528,15.0015,0.0011184,2023-06-25T01:04:49.617Z,48f33c89-63f8-45b4-8484-fed9dd7ad8c2,pending,6
